player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Aprincess-Pagle,1/19/20,21:14:01,1579504441-1,[Halo of Transcendence],16921,item:16921::::::::60,Mainspec (major upgrade),3,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff1eff00|Hitem:10175::::::2050:400502144:60:::1::::|h[Mystical Headwrap of Healing]|h|r,,1,false,Cloth,Head,,Onyxia
Aprincess-Pagle,2/02/20,19:41:16,1580730076-5,[Boots of Prophecy],16811,item:16811::::::::60,Mainspec (major upgrade),3,PRIEST,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:18102:851:::::::60:::1::::|h[Dragonrider Boots]|h|r,,1,false,Cloth,Feet,,Shazzrah
Leonflowen-Pagle,1/11/20,00:15:48,1578737748-21,[Girdle of Prophecy],16817,item:16817::::::::60,Mainspec/Need,0,PRIEST,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:16685::::::::60:::1::::|h[Magister's Belt]|h|r,,1,false,Cloth,Waist,,Shazzrah
Dunevegan-Pagle,1/20/20,21:53:43,1579593223-1,[Cenarion Boots],16829,item:16829::::::::60,Offline or RCLootCouncil not installed,0,DRUID,Molten Core-40 Player,Lucifron,9,409,40,,,NOTHING,false,Leather,Feet,,Lucifron
Dunevegan-Pagle,1/20/20,23:24:14,1579598654-7,[Cenarion Bracers],16830,item:16830::::::::60,Offline or RCLootCouncil not installed,0,DRUID,Molten Core-40 Player,Shazzrah,9,409,40,,,NOTHING,false,Leather,Wrist,,Shazzrah
Nickjacky-Pagle,11/17/19,22:34:41,1574066081-11,[Brutality Blade],18832,item:18832::::::::60,Mainspec/Need,4,WARRIOR,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:15806:1900:::::::60:::11::::|h[Mirah's Song]|h|r,|cffa335ee|Hitem:1168:1704:::::::60:::1::::|h[Skullflame Shield]|h|r,1,false,One-Handed Swords,One-Hand,,Garr
Shadowhuff-Pagle,1/10/20,22:25:23,1578731123-7,[Nightslayer Gloves],16826,item:16826::::::::60,Mainspec/Need,0,ROGUE,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:15063:1887:::::::60:::::::|h[Devilsaur Gauntlets]|h|r,,1,false,Leather,Hands,,Gehennas
Shadowhuff-Pagle,1/13/20,22:24:57,1578990297-5,[Core Hound Tooth],18805,item:18805::::::::60,Mainspec/Need,0,ROGUE,Molten Core-40 Player,Majordomo Executus,9,409,40,|cff0070dd|Hitem:11817:805:::::::60:::1::::|h[Lord General's Sword]|h|r,|cff0070dd|Hitem:15806:805:::::::60:::11::::|h[Mirah's Song]|h|r,1,false,Daggers,One-Hand,,Majordomo Executus
Shadowhuff-Pagle,1/20/20,22:34:09,1579595649-1,[Gutgore Ripper],17071,item:17071::::::::60,Mainspec/Need,0,ROGUE,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:11817:805:::::::60:::1::::|h[Lord General's Sword]|h|r,|cffa335ee|Hitem:18805:1900:::::::60:::::::|h[Core Hound Tooth]|h|r,1,false,Daggers,One-Hand,,Garr
Hotdogfarm-Pagle,12/22/19,23:24:39,1577093079-10,[Leggings of Transcendence],16922,item:16922::::::::60,Mainspec/Need,4,PRIEST,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:16814::::::::60:::::::|h[Pants of Prophecy]|h|r,,1,false,Cloth,Legs,,Ragnaros
Hotdogfarm-Pagle,1/05/20,22:57:10,1578301030-6,[The Eye of Divinity],18646,item:18646::::::::60,Mainspec (major upgrade),3,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,|cff0070dd|Hitem:18469::::::::60:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,1,false,Miscellaneous,Trinket,,Majordomo Executus
Hotdogfarm-Pagle,1/26/20,21:24:36,1580109876-2,[Halo of Transcendence],16921,item:16921::::::::60,Mainspec (major upgrade),5,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff1eff00|Hitem:14322::::::2054:195008768:60:::::::|h[Resplendent Circlet of Healing]|h|r,,1,false,Cloth,Head,,Onyxia
Veinkiller-Pagle,1/10/20,22:26:01,1578731161-8,[Giantstalker's Boots],16849,item:16849::::::::60,Offline or RCLootCouncil not installed,0,HUNTER,Molten Core-40 Player,Gehennas,9,409,40,,,NOTHING,false,Mail,Feet,,Gehennas
Seinfeld-Pagle,12/09/19,22:28:15,1575966495-0,[Nemesis Skullcap],16929,item:16929::::::::60,Mainspec/Need,0,WARLOCK,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff1eff00|Hitem:14111::::::::60:::::::|h[Felcloth Hood]|h|r,,1,false,Cloth,Head,,Axekiller-Pagle
Seinfeld-Pagle,12/15/19,23:02:36,1576486956-1,[Sorcerous Dagger],18878,item:18878::::::::60,Minor Upgrade,4,WARLOCK,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:18534::::::::60:::1::::|h[Rod of the Ogre Magi]|h|r,,2,false,Daggers,Main Hand,,Sulfuron Harbinger
Seinfeld-Pagle,12/29/19,22:31:37,1577694697-17,[Felheart Bracers],16804,item:16804::::::::60,Mainspec/Need,3,WARLOCK,Molten Core-40 Player,Shazzrah,9,409,40,|cff1eff00|Hitem:9937::::::1847:659189120:60:::::::|h[Abjurer's Bands of Shadow Wrath]|h|r,,1,false,Cloth,Wrist,,Shazzrah
Seinfeld-Pagle,12/30/19,21:13:10,1577776390-3,[Ancient Cornerstone Grimoire],17067,item:17067::::::::60,Offspec/Greed,1,WARLOCK,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff1eff00|Hitem:11904::::::::60:::11::::|h[Spirit of Aquementas]|h|r,,3,false,Miscellaneous,Held In Off-hand,,Onyxia
Seinfeld-Pagle,1/03/20,21:11:29,1578121889-3,[Sapphiron Drape],17078,item:17078::::::::60,Mainspec/Need,3,WARLOCK,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:11623::::::::60:::1::::|h[Spritecaster Cape]|h|r,,1,false,Cloth,Back,,Onyxia
Seinfeld-Pagle,1/05/20,21:27:22,1578295642-1,[Choker of Enlightenment],17109,item:17109::::::::60,Mainspec (major upgrade),2,WARLOCK,Molten Core-40 Player,Lucifron,9,409,40,|cff0070dd|Hitem:12103::::::::60:::1::::|h[Star of Mystaria]|h|r,,1,false,Miscellaneous,Neck,,Lucifron
Seinfeld-Pagle,1/12/20,22:50:03,1578905403-16,[Felheart Shoulder Pads],16807,item:16807::::::::60,Teir Bonus/Completion,1,WARLOCK,Molten Core-40 Player,Baron Geddon,9,409,40,|cff1eff00|Hitem:14112::::::::60:::::::|h[Felcloth Shoulders]|h|r,,4,false,Cloth,Shoulder,,Baron Geddon
Seinfeld-Pagle,1/19/20,21:40:08,1579506008-6,[Felheart Gloves],16805,item:16805::::::::60,Teir Bonus/Completion,1,WARLOCK,Molten Core-40 Player,Lucifron,9,409,40,|cff0070dd|Hitem:18407::::::::60:::::::|h[Felcloth Gloves]|h|r,,4,false,Cloth,Hands,,Lucifron
Seinfeld-Pagle,1/19/20,22:06:29,1579507589-13,[Felheart Horns],16808,item:16808::::::::60,Teir Bonus/Completion,4,WARLOCK,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16929::::::::60:::::::|h[Nemesis Skullcap]|h|r,,4,false,Cloth,Head,,Garr
Seinfeld-Pagle,1/26/20,23:15:12,1580116512-10,[Staff of Dominance],18842,item:18842::::::::60,Mainspec (major upgrade),1,WARLOCK,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:18878::::::::60:::::::|h[Sorcerous Dagger]|h|r,|cff1eff00|Hitem:11904::::::::60:::11::::|h[Spirit of Aquementas]|h|r,1,false,Staves,Two-Hand,,Golemagg the Incinerator
Seinfeld-Pagle,2/02/20,20:19:27,1580732367-9,[Felheart Robes],16809,item:16809::::::::60,Teir Bonus/Completion,3,WARLOCK,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14153::::::::60:::::::|h[Robe of the Void]|h|r,,4,false,Cloth,Chest,,Golemagg the Incinerator
Makena-Pagle,11/17/19,22:11:44,1574064704-8,[Nightslayer Gloves],16826,item:16826::::::::60,Mainspec/Need,3,ROGUE,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:15063::::::::60:::::::|h[Devilsaur Gauntlets]|h|r,,1,false,Leather,Hands,,Gehennas
Trappêd-Pagle,1/20/20,21:46:04,1579592764-0,[Giantstalker's Bracers],16850,item:16850::::::::60,Offline or RCLootCouncil not installed,0,HUNTER,Molten Core-40 Player,Unknown,9,409,40,,,NOTHING,false,Mail,Wrist,,Trappêd-Pagle
Needlez-Pagle,11/24/19,22:35:45,1574670945-2,[Nightslayer Cover],16821,item:16821::::::::60,Mainspec/Need,3,ROGUE,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:12587::::::::60:::1::::|h[Eye of Rend]|h|r,,1,false,Leather,Head,,Garr
Needlez-Pagle,11/25/19,21:21:29,1574752889-3,[Head of Onyxia],18423,item:18423::::::::60,Pass,0,ROGUE,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,PASS,false,Quest,,,Onyxia
Needlez-Pagle,11/25/19,22:44:46,1574757886-15,[Cloak of the Shrouded Mists],17102,item:17102::::::::60,Mainspec/Need,2,ROGUE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:15138::::::::60:::::::|h[Onyxia Scale Cloak]|h|r,,1,false,Cloth,Back,,Ragnaros
Needlez-Pagle,12/08/19,21:23:45,1575876225-4,[Aged Core Leather Gloves],18823,item:18823::::::::60,Mainspec/Need,3,ROGUE,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:15063:1887:::::::60:::::::|h[Devilsaur Gauntlets]|h|r,,1,false,Leather,Hands,,Magmadar
Needlez-Pagle,12/08/19,21:29:37,1575876577-8,[Nightslayer Belt],16827,item:16827::::::::60,Minor Upgrade,4,ROGUE,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:14636::::::::60:::1::::|h[Cadaverous Belt]|h|r,,2,false,Leather,Waist,,Axekiller-Pagle
Needlez-Pagle,12/15/19,21:24:37,1576481077-2,[Nightslayer Pants],16822,item:16822::::::::60,Mainspec/Need,3,ROGUE,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:15062:1843:::::::60:::::::|h[Devilsaur Leggings]|h|r,,1,false,Leather,Legs,,Magmadar
Needlez-Pagle,12/15/19,23:19:18,1576487958-6,[Core Hound Tooth],18805,item:18805::::::::60,Mainspec/Need,3,ROGUE,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:18816:1900:::::::60:::::::|h[Perdition's Blade]|h|r,|cff0070dd|Hitem:14024::::::::60:::1::::|h[Frightalon]|h|r,1,false,Daggers,One-Hand,,Majordomo Executus
Gnotamage-Pagle,11/17/19,22:48:53,1574066933-13,[Felheart Shoulder Pads],16807,item:16807::::::::60,Offspec/Greed,3,WARLOCK,Molten Core-40 Player,Baron Geddon,9,409,40,|cff1eff00|Hitem:10142::::::1857:1705121152:60:::::::|h[High Councillor's Mantle of Shadow Wrath]|h|r,,2,false,Cloth,Shoulder,pvp set,Baron Geddon
Gnotamage-Pagle,11/24/19,23:58:45,1574675925-19,[Staff of Dominance],18842,item:18842::::::::60,Mainspec/Need,2,WARLOCK,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cff0070dd|Hitem:18534::::::::60:::1::::|h[Rod of the Ogre Magi]|h|r,,1,false,Staves,Two-Hand,The best Dildo in MC,Golemagg the Incinerator
Gnotamage-Pagle,12/01/19,20:38:37,1575290317-30,[Nemesis Leggings],16930,item:16930::::::::60,Mainspec/Need,4,WARLOCK,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:13170::::::::60:::1::::|h[Skyshroud Leggings]|h|r,,1,false,Cloth,Legs,Will use all the way through phase 3,Ragnaros
Gnotamage-Pagle,12/08/19,23:22:44,1575883364-32,[Choker of the Fire Lord],18814,item:18814::::::::60,Mainspec/Need,3,WARLOCK,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:18691::::::::60:::1::::|h[Dark Advisor's Pendant]|h|r,,1,false,Miscellaneous,Neck,,Ragnaros
Gnotamage-Pagle,12/29/19,21:49:45,1577692185-10,[Talisman of Ephemeral Power],18820,item:18820::::::::60,Mainspec/Need,2,WARLOCK,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,|cff0070dd|Hitem:13968::::::::60:::11::::|h[Eye of the Beast]|h|r,1,false,Miscellaneous,Trinket,Pog <3,Garr
Gnotamage-Pagle,1/05/20,22:11:17,1578298277-14,[Felheart Slippers],16803,item:16803::::::::60,Teir Bonus/Completion,3,WARLOCK,Molten Core-40 Player,Shazzrah,9,409,40,|cff1eff00|Hitem:10137:911:::::1857:531574144:60:::1::::|h[High Councillor's Boots of Shadow Wrath]|h|r,,4,false,Cloth,Feet,,Shazzrah
Gnotamage-Pagle,1/19/20,22:29:47,1579508987-21,[Felheart Slippers],16803,item:16803::::::::60,Teir Bonus/Completion,3,WARLOCK,Molten Core-40 Player,Shazzrah,9,409,40,|cff1eff00|Hitem:10137:911:::::1857:531574144:60:::1::::|h[High Councillor's Boots of Shadow Wrath]|h|r,,4,false,Cloth,Feet,,Shazzrah
Gnotamage-Pagle,1/26/20,23:17:04,1580116624-12,[Felheart Robes],16809,item:16809::::::::60,Teir Bonus/Completion,3,WARLOCK,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:19145::::::::60:::::::|h[Robe of Volatile Power]|h|r,,4,false,Cloth,Chest,,Golemagg the Incinerator
Razax-Pagle,1/10/20,23:03:46,1578733426-9,[Nightslayer Cover],16821,item:16821::::::::60,Offline or RCLootCouncil not installed,0,ROGUE,Molten Core-40 Player,Garr,9,409,40,,,NOTHING,false,Leather,Head,,Garr
Tigglez-Pagle,1/12/20,23:38:35,1578908315-26,[The Eye of Divinity],18646,item:18646::::::::60,Offline or RCLootCouncil not installed,1,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,,,NOTHING,false,Miscellaneous,Trinket,,Majordomo Executus
Melayna-Pagle,1/21/20,00:09:09,1579601349-0,[The Eye of Divinity],18646,item:18646::::::::60,Offline or RCLootCouncil not installed,0,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,,,NOTHING,false,Miscellaneous,Trinket,,Majordomo Executus
Chevve-Pagle,1/11/20,00:25:55,1578738355-23,[Robe of Volatile Power],19145,item:19145::::::::60,Mainspec/Need,0,PALADIN,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:13346::::::::60:::1::::|h[Robes of the Exalted]|h|r,,1,false,Cloth,Chest,,Sulfuron Harbinger
Roycerx-Pagle,12/01/19,18:23:40,1575282220-0,[Tome of Tranquilizing Shot],16665,item:16665::::::::60,Mainspec/Need,4,HUNTER,Molten Core-40 Player,Lucifron,9,409,40,,,1,false,Book,,,Lucifron
Roycerx-Pagle,12/08/19,21:46:25,1575877585-11,[Giantstalker's Helmet],16846,item:16846::::::::60,Mainspec/Need,4,HUNTER,Molten Core-40 Player,Garr,9,409,40,,,1,false,Mail,Head,,Garr
Roycerx-Pagle,12/15/19,21:24:44,1576481084-3,[Giantstalker's Leggings],16847,item:16847::::::::60,Mainspec/Need,3,HUNTER,Molten Core-40 Player,Magmadar,9,409,40,,,1,false,Mail,Legs,,Magmadar
Roycerx-Pagle,12/15/19,23:02:30,1576486950-0,[Giantstalker's Epaulets],16848,item:16848::::::::60,Mainspec/Need,5,HUNTER,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,,,1,false,Mail,Shoulder,,Sulfuron Harbinger
Roycerx-Pagle,12/15/19,23:18:17,1576487897-5,[Ancient Petrified Leaf],18703,item:18703::::::::60,Mainspec/Need,0,HUNTER,Molten Core-40 Player,Majordomo Executus,9,409,40,,,1,false,Quest,,,Majordomo Executus
Sarini-Pagle,11/24/19,22:34:52,1574670892-1,[Giantstalker's Helmet],16846,item:16846::::::::60,Mainspec/Need,3,HUNTER,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:18421::::::::60:::11::::|h[Backwood Helm]|h|r,,1,false,Mail,Head,,Garr
Sarini-Pagle,11/25/19,21:20:29,1574752829-1,[Mature Black Dragon Sinew],18705,item:18705::::::::60,Mainspec/Need,2,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,1,false,Quest,,,Onyxia
Sarini-Pagle,12/08/19,22:12:01,1575879121-16,[Giantstalker's Gloves],16852,item:16852::::::::60,Mainspec/Need,5,HUNTER,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:16676:1843:::::::60:::1::::|h[Beaststalker's Gloves]|h|r,,1,false,Mail,Hands,,Shazzrah
Sarini-Pagle,12/23/19,21:10:20,1577171420-0,[Head of Onyxia],18423,item:18423::::::::60,Mainspec/Need,2,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,1,false,Quest,,,Onyxia
Sarini-Pagle,12/29/19,22:57:05,1577696225-24,[Giantstalker's Breastplate],16845,item:16845::::::::60,Mainspec/Need,3,HUNTER,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cff0070dd|Hitem:18530::::::::60:::1::::|h[Ogre Forged Hauberk]|h|r,,1,false,Mail,Chest,,Golemagg the Incinerator
Sarini-Pagle,12/29/19,23:17:58,1577697478-31,[Dragonstalker's Legguards],16938,item:16938::::::::60,Mainspec/Need,3,HUNTER,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:18524::::::::60:::1::::|h[Leggings of Destruction]|h|r,,1,false,Mail,Legs,,Ragnaros
Sarini-Pagle,1/12/20,22:26:30,1578903990-10,[Giantstalker's Boots],16849,item:16849::::::::60,Pass,0,HUNTER,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:13967:1843:::::::60:::1::::|h[Windreaver Greaves]|h|r,,PASS,false,Mail,Feet,,Gehennas
Sarini-Pagle,1/19/20,22:10:17,1579507817-17,[Giantstalker's Belt],16851,item:16851::::::::60,Mainspec (major upgrade),5,HUNTER,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:19092::::::::60:::14::::|h[Stormpike Mail Girdle]|h|r,,1,false,Mail,Waist,,Garr
Sarini-Pagle,1/19/20,22:56:17,1579510577-25,[Giantstalker's Bracers],16850,item:16850::::::::60,Mainspec (minor upgrade),3,HUNTER,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:13211:247:::::::60:::1::::|h[Slashclaw Bracers]|h|r,,2,false,Mail,Wrist,,Sulfuron Harbinger
Keeks-Pagle,11/24/19,23:10:56,1574673056-8,[Arcanist Gloves],16801,item:16801::::::::60,Mainspec/Need,2,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:10787::::::788:256136576:60:::1::::|h[Atal'ai Gloves of the Owl]|h|r,,1,false,Cloth,Hands,,Shazzrah
Keeks-Pagle,11/24/19,23:24:48,1574673888-11,[Arcanist Bindings],16799,item:16799::::::::60,Minor Upgrade,2,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:18497::::::::60:::1::::|h[Sublime Wristguards]|h|r,,2,false,Cloth,Wrist,,Shazzrah
Keeks-Pagle,12/08/19,21:57:48,1575878268-14,[Arcanist Mantle],16797,item:16797::::::::60,Mainspec/Need,5,MAGE,Molten Core-40 Player,Baron Geddon,9,409,40,|cff0070dd|Hitem:11782::::::::60:::1::::|h[Boreal Mantle]|h|r,,1,false,Cloth,Shoulder,,Baron Geddon
Keeks-Pagle,12/08/19,22:48:19,1575881299-23,[Arcanist Robes],16798,item:16798::::::::60,Offspec/Greed,3,MAGE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:14152:928:::::::60:::::::|h[Robe of the Archmage]|h|r,,3,false,Cloth,Chest,,Golemagg the Incinerator
Keeks-Pagle,12/15/19,23:35:22,1576488922-10,[Netherwind Pants],16915,item:16915::::::::60,Mainspec/Need,3,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:18745::::::::60:::1::::|h[Sacred Cloth Leggings]|h|r,,1,false,Cloth,Legs,,Ragnaros
Keeks-Pagle,12/22/19,21:51:16,1577087476-10,[Arcanist Crown],16795,item:16795::::::::60,Offspec/Greed,4,MAGE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:16914::::::::60:::::::|h[Netherwind Crown]|h|r,,3,false,Cloth,Head,,Garr
Keeks-Pagle,1/12/20,22:13:31,1578903211-6,[Talisman of Ephemeral Power],18820,item:18820::::::::60,Mainspec (minor upgrade),3,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,|cff0070dd|Hitem:13968::::::::60:::11::::|h[Eye of the Beast]|h|r,2,false,Miscellaneous,Trinket,,Magmadar
Keeks-Pagle,1/19/20,21:55:21,1579506921-12,[Sorcerous Dagger],18878,item:18878::::::::60,Offspec,3,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:18534::::::::60:::1::::|h[Rod of the Ogre Magi]|h|r,,3,false,Daggers,Main Hand,,Gehennas
Nemsky-Pagle,12/22/19,21:26:04,1577085964-3,[Fire Runed Grimoire],19142,item:19142::::::::60,Mainspec/Need,5,PALADIN,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:16998:929:::::::60:::11::::|h[Sacred Protector]|h|r,,1,false,Miscellaneous,Held In Off-hand,,Magmadar
Nemsky-Pagle,12/22/19,21:36:27,1577086587-5,[Lawbringer Gauntlets],16860,item:16860::::::::60,Mainspec/Need,5,PALADIN,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:18309::::::::60:::1::::|h[Gloves of Restoration]|h|r,,1,false,Plate,Hands,,Gehennas
Nemsky-Pagle,12/29/19,22:00:51,1577692851-13,[Seal of the Archmagus],17110,item:17110::::::::60,Mainspec/Need,4,PALADIN,Molten Core-40 Player,Baron Geddon,9,409,40,|cff0070dd|Hitem:18103::::::::60:::1::::|h[Band of Rumination]|h|r,|cff0070dd|Hitem:16058::::::::60:::11::::|h[Fordring's Seal]|h|r,1,false,Miscellaneous,Finger,,Baron Geddon
Nemsky-Pagle,12/29/19,22:14:10,1577693650-15,[Manastorm Leggings],18872,item:18872::::::::60,Offspec/Greed,3,PALADIN,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:18386::::::::60:::1::::|h[Padre's Trousers]|h|r,,3,false,Cloth,Legs,,Shazzrah
Nemsky-Pagle,12/29/19,22:35:55,1577694955-18,[Lawbringer Bracers],16857,item:16857::::::::60,Mainspec/Need,5,PALADIN,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:16714:905:::::::60:::1::::|h[Wildheart Bracers]|h|r,,1,false,Plate,Wrist,,Shazzrah
Phenyx-Pagle,12/22/19,21:25:27,1577085927-2,[Nightslayer Pants],16822,item:16822::::::::60,Mainspec/Need,4,ROGUE,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:15062:2543:::::::60:::::::|h[Devilsaur Leggings]|h|r,,1,false,Leather,Legs,,Magmadar
Phenyx-Pagle,12/30/19,20:44:40,1577774680-0,[Nightslayer Bracelets],16825,item:16825::::::::60,Candidate is not in the instance,1,ROGUE,Eastern Kingdoms-,Unknown,0,0,0,|cff0070dd|Hitem:16710:927:::::::60:::1::::|h[Shadowcraft Bracers]|h|r,,NOTINRAID,false,Leather,Wrist,,Cept-Pagle
